property_location,owners_name,owners_mailing_address,city_state_zip,Yr. Built,Latitude,Longitude,property_full_address,gcode
514 NEWARK AVE.,HOUSING AUTHORITY OF JERSEY CITY,514 NEWARK AVENUE,"JERSEY CITY, NJ  07306",,40.730081875,-74.05528274999999,"514 Newark Ave., Jersey City, NJ","514, Newark Avenue, Jersey City, Hudson County, New Jersey, 07306, United States"
88 ERIE ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",1870.0,40.724742,-74.043713,"88 Erie St., Jersey City, NJ","88, Erie Street, Newport, Jersey City, Hudson County, New Jersey, 07302, United States"
57 DALES AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",1941.0,40.73589526923077,-74.07633576923077,"57 Dales Ave., Jersey City, NJ","57, Dales Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
547 MONTGOMERY ST.,HOUSING AUTHORITY OF JERSEY CITY,P.O. BOX 90708,"CAMDEN, NJ  08101",,40.7224293,-74.0602214,"547 Montgomery St., Jersey City, NJ","547, Montgomery Street, Bergen, Jersey City, Hudson County, New Jersey, 07302, United States"
547 MONTGOMERY ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",,40.7224293,-74.0602214,"547 Montgomery St., Jersey City, NJ","547, Montgomery Street, Bergen, Jersey City, Hudson County, New Jersey, 07302, United States"
20 FLORENCE ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",,40.7217579,-74.0602213,"20 Florence St., Jersey City, NJ","Florence Street, Jersey City, Hudson County, New Jersey, 07302:07304, United States"
194 CORNELISON AVE,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",2019.0,40.72162223593433,-74.06287254958836,"194 Cornelison Ave, Jersey City, NJ","194, Cornelison Avenue, Jersey City, Hudson County, New Jersey, 07304, United States"
198 CORNELISON AVE,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",,40.721711,-74.062783,"198 Cornelison Ave, Jersey City, NJ","198, Cornelison Avenue, Jersey City, Hudson County, New Jersey, 07304, United States"
200 CORNELISON AVE,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",2019.0,40.721911,-74.062587,"200 Cornelison Ave, Jersey City, NJ","200, Cornelison Avenue, Bergen, Jersey City, Hudson County, New Jersey, 07304, United States"
206 CORNELISON AVE,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",,40.7221867,-74.0623239,"206 Cornelison Ave, Jersey City, NJ","206, Cornelison Avenue, Bergen, Jersey City, Hudson County, New Jersey, 07304, United States"
214 CORNELISON AVE,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",2019.0,40.7225543,-74.0619731,"214 Cornelison Ave, Jersey City, NJ","214, Cornelison Avenue, Bergen, Jersey City, Hudson County, New Jersey, 07304, United States"
557 MONTGOMERY ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07306",2019.0,40.72254755,-74.0606024,"557 Montgomery St., Jersey City, NJ","557, Montgomery Street, Bergen, Jersey City, Hudson County, New Jersey, 07302, United States"
62 FREMONT ST.,HOUSING AUTHORITY OF JERSEY CITY,400 U.S. HIGHWAY #1,"JERSEY CITY, NJ  07304",,40.719807125,-74.059575125,"62 Fremont St., Jersey City, NJ","62, Fremont Street, Jersey City, Hudson County, New Jersey, 07302, United States"
16-134 WILMOT AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",2016.0,39.943495,-75.0759364,"16-134 Wilmot Ave., Jersey City, NJ","Wilmot Avenue, Stockton, Camden, Camden County, New Jersey, 08105, United States"
16-134 WILMOT AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",2016.0,39.943495,-75.0759364,"16-134 Wilmot Ave., Jersey City, NJ","Wilmot Avenue, Stockton, Camden, Camden County, New Jersey, 08105, United States"
326 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.729646625,-74.08348612500001,"326 Duncan Ave., Jersey City, NJ","326, Duncan Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
326 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.729646625,-74.08348612500001,"326 Duncan Ave., Jersey City, NJ","326, Duncan Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
326 DUNCAN AVE.,HOUSING AUTHORITY OF JERSEY CITY,400 ROUTE 1,"JERSEY CITY, NJ  07306",,40.729646625,-74.08348612500001,"326 Duncan Ave., Jersey City, NJ","326, Duncan Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States"
